city,state,population,land_area_sq_mi,city_state,lat,lon,metro_population,msa_name,median_household_income,median_home_price,avg_temp_f,avg_temp_c,avg_high_f,avg_low_f,avg_summer_high_f,avg_winter_low_f,walkability_score,walkability_score_100,dist_airport_miles,nearest_airport,dist_zoo_miles,nearest_zoo,dist_theme_park_miles,nearest_theme_park,dist_natl_park_miles,nearest_natl_park,dist_natl_forest_miles,nearest_natl_forest,coastline_type,dist_coast_miles,elevation_ft,parks_within_100mi,nature_score,dist_state_park_miles,nearest_state_park,temp_range_f,has_winter,has_summer,has_spring_fall,seasons_count,seasons_score,nfl_teams,mlb_teams,nba_teams,nhl_teams,mls_teams,total_pro_teams,sports_score,environment_type
Salt Lake City,UT,217783,110.3,"Salt Lake City, UT",40.75962,-111.886797,1300762.0,,72357.0,458600.0,52.5,11.4,63.3,41.7,88.6,23.1,13.13,63.8,5.3,Salt Lake City,1.3,Tracy Aviary,10.5,Richochet Canyon Amusement Park,177.4,Great Basin NP,31.1,Wasatch Cache NF UT,none,591.0,4281.0,4.0,40.0,28.6,Antelope Island SP UT,65.5,True,True,True,4,100.0,0,0,1,1,1,3,30.0,mountains
Moreno Valley,CA,213919,51.3,"Moreno Valley, CA",33.937518,-117.230579,,,82637.0,421400.0,65.2,18.4,77.1,53.4,91.1,42.9,10.09,47.8,22.8,Ontario California,28.2,Petting Zoo,8.8,Fiesta Village Family Fun Park,76.5,Joshua Tree NP,30.6,San Bernardino NF CA,none,51.8,1640.0,7.0,50.0,31.9,Mount San Jacinto SP CA,48.2,False,True,True,2,50.0,2,2,2,1,2,9,90.0,desert
Des Moines,IA,213096,88.2,"Des Moines, IA",41.586865,-93.624949,753913.0,,62378.0,170700.0,51.6,10.9,60.3,43.0,83.4,17.7,10.35,49.2,4.1,Des Moines,4.0,Cattle Tie-Outs,68.9,Unknown,273.8,Gateway Arch NP,323.3,Mark Twain NF MO,none,306.2,820.0,0.0,0.0,162.2,Effigy Mounds IA,65.7,True,True,True,4,100.0,0,0,0,0,0,0,0.0,plains
Worcester,MA,211286,37.4,"Worcester, MA",42.262562,-71.801888,881248.0,"Worcester, MA MSA",63011.0,305600.0,50.2,10.1,58.4,42.0,79.8,22.4,9.42,44.3,41.2,Logan Boston,1.7,Green Hill Park Farm Petting Zoo,19.1,Boston Paint Ball,95.4,Cape Cod NS,373.7,Allegheny NF PA,ocean,41.2,502.0,2.0,32.0,60.8,Mohawk Trail SP MA,57.4,True,True,True,4,100.0,1,1,1,1,1,5,50.0,coastal
Yonkers,NY,211040,18.0,"Yonkers, NY",40.93121,-73.898747,,,78208.0,456500.0,54.0,12.2,61.6,46.3,81.8,27.3,11.25,53.9,10.7,LaGuardia New York,5.8,Bronx Zoo,1.2,The Brook at Tibbetts,43.6,Fire Island NS,269.6,Allegheny NF PA,ocean,16.8,85.0,7.0,53.0,21.3,Harriman State Park NY,54.5,True,True,True,4,100.0,2,2,2,2,2,10,100.0,coastal
Fayetteville,NC,209496,148.3,"Fayetteville, NC",35.052576,-78.878292,393812.0,"Fayetteville, NC MSA",53424.0,158500.0,63.8,17.7,72.7,55.0,88.3,38.7,6.69,29.9,57.1,Raleigh-Durham,11.9,Parkton Animal Oasis,34.5,White Lake Water Park,90.9,Blue Ridge Parkway,136.1,Francis Marion NF SC,none,85.0,131.0,2.0,28.0,62.9,Cheraw SP SC,49.6,False,True,True,2,50.0,0,0,0,1,0,1,10.0,plains
Sioux Falls,SD,209289,79.1,"Sioux Falls, SD",43.547601,-96.729363,308266.0,"Sioux Falls, SD-MN MSA",71785.0,250000.0,47.9,8.8,56.9,39.0,81.5,13.2,10.31,49.0,2.5,Sioux Falls,1.9,Great Plains Zoo,1.7,Thunder Road Sioux Falls,281.8,Badlands NP,242.0,Nebraska NF,none,318.6,1427.0,0.0,0.0,263.0,Itasca SP MN,68.3,True,True,True,4,100.0,0,0,0,0,0,0,0.0,plains
Grand Prairie,TX,207331,72.6,"Grand Prairie, TX",32.745964,-96.997785,,,76626.0,242900.0,67.7,19.8,76.5,58.9,93.2,40.9,9.08,42.5,10.9,Dallas/Fort Worth,14.0,Texas Discovery Gardens,3.9,Bolder Adventure Park,258.8,Hot Springs NP,166.3,Sam Houston NF TX,none,273.5,525.0,0.0,2.0,254.7,Lost Maples SP TX,52.3,False,True,True,2,50.0,1,1,1,1,1,5,50.0,plains
Rochester,NY,207282,35.8,"Rochester, NY",43.157285,-77.615214,1057218.0,"Rochester, NY MSA",44156.0,111400.0,49.6,9.8,56.8,42.5,77.5,23.2,9.44,44.4,58.5,Buffalo Niagara,3.5,Seneca Park Zoo,6.3,Seabreeze Amusement Park,240.6,Cuyahoga Valley NP,128.7,Allegheny NF PA,great_lakes,3.0,509.0,2.0,30.0,43.1,Letchworth SP NY,54.3,True,False,True,2,50.0,1,1,1,1,1,5,50.0,great_lakes
Tallahassee,FL,205089,100.9,"Tallahassee, FL",30.438083,-84.280933,397675.0,"Tallahassee, FL MSA",52899.0,256400.0,69.2,20.7,78.0,60.4,88.7,47.6,8.68,40.4,154.8,Jacksonville,17.8,Redemptive Love Farm,3.0,Fun Station,309.1,Congaree NP,35.1,Apalachicola NF FL,none,70.7,236.0,2.0,22.0,96.1,Ichetucknee Springs SP FL,41.1,False,True,True,2,50.0,0,0,0,0,0,0,0.0,lowlands
